iter	Logloss
0	0.6911379883
1	0.689284082
2	0.6873648926
3	0.6855032227
4	0.6836662109
5	0.6819371094
6	0.68029375
7	0.6786049316
8	0.6769819824
9	0.6753865234
10	0.6735864258
11	0.6720902344
12	0.6705360352
13	0.6690908691
14	0.6674772461
15	0.6659744141
16	0.6645140625
17	0.6630250488
18	0.661709082
19	0.6603956055
20	0.6590681152
21	0.6577225586
22	0.6563943848
23	0.6551320312
24	0.6539822754
25	0.6527054688
26	0.651412207
27	0.6501212891
28	0.6489958984
29	0.6477386719
30	0.6464594238
31	0.6453088867
32	0.6441558594
33	0.64285
34	0.6416226563
35	0.6405400391
36	0.6394015625
37	0.6383713867
38	0.6373059082
39	0.6363443359
40	0.6354306152
41	0.6345030273
42	0.6334835449
43	0.6324904297
44	0.6315573242
45	0.6306267578
46	0.6297395508
47	0.628887207
48	0.627921875
49	0.6271411133
50	0.6262212402
51	0.6253974609
52	0.6246120117
53	0.6238400391
54	0.6230834961
55	0.6222295898
56	0.6214353516
57	0.6205746582
58	0.6198631348
59	0.619076123
60	0.6183983398
61	0.6176435547
62	0.616927832
63	0.6161805664
64	0.6155135742
65	0.6148344727
66	0.6141478027
67	0.6135153809
68	0.6128477539
69	0.6121056641
70	0.6114987305
71	0.6109070801
72	0.6103091309
73	0.6096510742
74	0.6090161621
75	0.6083876953
76	0.6078339844
77	0.6072283203
78	0.6066762695
79	0.6060804199
80	0.6054422363
81	0.6049683105
82	0.6043781738
83	0.6038539063
84	0.6032853516
85	0.6026930176
86	0.6022041992
87	0.6016571289
88	0.6011546387
89	0.6006422852
90	0.6001378418
91	0.5996123047
92	0.5991340332
93	0.5986621094
94	0.5981558105
95	0.5976708008
96	0.5970994141
97	0.5966233887
98	0.5961473633
99	0.595701709
100	0.5952467285
101	0.5948630859
102	0.594410791
103	0.5940179199
104	0.5936462402
105	0.5932270996
106	0.5927966797
107	0.5923429688
108	0.5919254395
109	0.591521582
110	0.5911227051
111	0.5907213379
112	0.5903345703
113	0.5899819824
114	0.5896406738
115	0.5892801758
116	0.5888380859
117	0.5884839844
118	0.5881981445
119	0.587825
120	0.587483252
121	0.5871348145
122	0.5867563965
123	0.5864167969
124	0.5860956055
125	0.5857525391
126	0.5854375
127	0.5851617188
128	0.584800293
129	0.5845153809
130	0.5841973633
131	0.5838677734
132	0.5835379883
133	0.5832312012
134	0.5828851563
135	0.582609668
136	0.5822991211
137	0.5819943359
138	0.5817068848
139	0.5814174805
140	0.5811494141
141	0.5808382324
142	0.5805051758
143	0.5801895508
144	0.5799308594
145	0.5796791016
146	0.5793476562
147	0.5790686035
148	0.5788186035
149	0.5785203125
150	0.5782632324
151	0.5780275391
152	0.5777968262
153	0.5775583984
154	0.5773355469
155	0.5771462891
156	0.5768664551
157	0.5766119141
158	0.5763609863
159	0.576077002
160	0.5757911133
161	0.5755243652
162	0.5752838867
163	0.5749986328
164	0.5747414063
165	0.5744953613
166	0.5742538086
167	0.5740661133
168	0.5738059082
169	0.5736002441
170	0.5733690918
171	0.5731130859
172	0.5728802734
173	0.5726514648
174	0.5724643555
175	0.5722788086
176	0.5720963867
177	0.571881543
178	0.5716178711
179	0.5713300781
180	0.5710599609
181	0.5708507812
182	0.5705876953
183	0.5703555664
184	0.5701570312
185	0.570003125
186	0.5698337891
187	0.5696086426
188	0.5694408203
189	0.5692241211
190	0.5690263672
191	0.5688003906
192	0.568594043
193	0.5684040039
194	0.5681655273
195	0.5679634277
196	0.5677295898
197	0.5675268066
198	0.5673401367
199	0.5671779297
200	0.5669844238
201	0.566786084
202	0.5665917969
203	0.5664083008
204	0.5661816406
205	0.5659308594
206	0.5657518555
207	0.565559375
208	0.5653956055
209	0.5652402344
210	0.5650222656
211	0.5648459473
212	0.564681543
213	0.5644492187
214	0.5642637207
215	0.564090918
216	0.5639208008
217	0.5637592285
218	0.5636025879
219	0.5634154297
220	0.5631998047
221	0.5629874023
222	0.562793457
223	0.5626459473
224	0.5624799805
225	0.5622952637
226	0.5621226563
227	0.5619430664
228	0.5617730957
229	0.5616384277
230	0.5614878418
231	0.5613112793
232	0.5611611328
233	0.5609287598
234	0.5607427246
235	0.5605802734
236	0.5604105469
237	0.5602454102
238	0.5601188965
239	0.5599578125
240	0.5597713379
241	0.5595976563
242	0.5593986816
243	0.5592419922
244	0.5590960938
245	0.5589469727
246	0.5587595703
247	0.5586223633
248	0.558442627
249	0.5583180664
250	0.5581287109
251	0.5579685547
252	0.5577260742
253	0.5575833984
254	0.5574759766
255	0.5573193359
256	0.5571748535
257	0.5570128906
258	0.5568174805
259	0.5566637207
260	0.5565023437
261	0.5563791016
262	0.5562232422
263	0.5560616699
264	0.55594375
265	0.5557446289
266	0.5556246094
267	0.5554436523
268	0.5553447266
269	0.5552193359
270	0.5550529785
271	0.5549295898
272	0.5548285156
273	0.554723877
274	0.5545944336
275	0.5544318359
276	0.5543241211
277	0.5542015137
278	0.5540108398
279	0.5538746094
280	0.5537683594
281	0.5536099609
282	0.5534587891
283	0.5532955078
284	0.5531861328
285	0.5531049805
286	0.5529546875
287	0.5528103516
288	0.5526539062
289	0.5525123047
290	0.5523802246
291	0.5522220703
292	0.5520556152
293	0.5518658203
294	0.5517174805
295	0.5515618652
296	0.5514029785
297	0.5512811523
298	0.551150293
299	0.5509845703
300	0.5508751953
301	0.5507521973
302	0.5506283691
303	0.5505314941
304	0.5503984863
305	0.5502879883
306	0.5501456055
307	0.5500254883
308	0.5498873047
309	0.5497882324
310	0.5496611328
311	0.5495393555
312	0.5493625977
313	0.5491883789
314	0.5490733398
315	0.5489385742
316	0.5488191406
317	0.5486989258
318	0.5485375977
319	0.5484083496
320	0.5482776855
321	0.5481640625
322	0.5480566895
323	0.5479609863
324	0.5478625
325	0.5477240723
326	0.5475884766
327	0.5474583008
328	0.5473251465
329	0.547165332
330	0.547031543
331	0.546917334
332	0.5468061523
333	0.546690332
334	0.5465430664
335	0.5464222656
336	0.5462962891
337	0.5461253418
338	0.5460438965
339	0.5459383789
340	0.5458160156
341	0.5456642578
342	0.5455305664
343	0.5453742188
344	0.5452415039
345	0.5451150391
346	0.544962793
347	0.5448626953
348	0.5446525879
349	0.5445187988
350	0.5444172852
351	0.5442725586
352	0.5441447266
353	0.5440391602
354	0.5439220703
355	0.5437669434
356	0.5436633301
357	0.5435405273
358	0.5434602539
359	0.5433751953
360	0.5432660156
361	0.5431449219
362	0.5430316895
363	0.5429269043
364	0.5428375488
365	0.5426881836
366	0.5426035156
367	0.5425019531
368	0.5424079102
369	0.5423171387
370	0.5422300293
371	0.5421458984
372	0.5419793945
373	0.5418680664
374	0.5417358398
375	0.5415930176
376	0.5415400391
377	0.5413853027
378	0.5413126953
379	0.5412352051
380	0.541092627
381	0.5410039551
382	0.5408979492
383	0.5407791992
384	0.5406352051
385	0.5405349609
386	0.5404046875
387	0.5402975098
388	0.5402106445
389	0.5401115234
390	0.5399452148
391	0.5398484375
392	0.5397428711
393	0.5396169922
394	0.5395231445
395	0.5394562012
396	0.5392929687
397	0.5392111328
398	0.5390965332
399	0.5389807617
400	0.5389234375
401	0.5387985352
402	0.5386735352
403	0.5385226562
404	0.5383650879
405	0.5382357422
406	0.5381634766
407	0.5380905273
408	0.5379542969
409	0.5378598633
410	0.537706543
411	0.537547998
412	0.5374461426
413	0.5373186523
414	0.5371886719
415	0.5371015625
416	0.5369309082
417	0.5368272461
418	0.5367202637
419	0.5366251953
420	0.5365196289
421	0.5364522949
422	0.5363585449
423	0.5362277344
424	0.5361187988
425	0.5360081543
426	0.535902002
427	0.5358102539
428	0.5357124023
429	0.535634082
430	0.5355137695
431	0.5354293457
432	0.5353013672
433	0.5351311035
434	0.5350283203
435	0.5349131836
436	0.5347643555
437	0.5346435547
438	0.5345454102
439	0.5344689453
440	0.534332373
441	0.5342015625
442	0.5340981934
443	0.5340087402
444	0.5338398438
445	0.5337712891
446	0.533631543
447	0.5334941406
448	0.5333369629
449	0.5332392578
450	0.5331674805
451	0.5330630859
452	0.532954541
453	0.5328720215
454	0.5327810059
455	0.532704541
456	0.5326217773
457	0.5325198242
458	0.5324070312
459	0.5323166016
460	0.532213623
461	0.5321050293
462	0.5320201172
463	0.5319425781
464	0.5317942871
465	0.5317066406
466	0.5316119141
467	0.5315356445
468	0.5314493164
469	0.5313250977
470	0.5312530273
471	0.5311353027
472	0.5310629883
473	0.5310029785
474	0.5308713867
475	0.5307958008
476	0.5306835937
477	0.5305842285
478	0.5304841797
479	0.5303739258
480	0.5302654785
481	0.5301761719
482	0.530061084
483	0.5299147461
484	0.5298109863
485	0.52973125
486	0.5296410156
487	0.529557959
488	0.529428125
489	0.5293060059
490	0.529260498
491	0.5291631836
492	0.5290910645
493	0.5289824707
494	0.5289032227
495	0.5287379395
496	0.5286384277
497	0.5285322266
498	0.5284271484
499	0.5283058594
500	0.5282077637
501	0.528067334
502	0.5279635742
503	0.5278479492
504	0.5277125488
505	0.527664209
506	0.5275650879
507	0.5274761719
508	0.5273762695
509	0.5272361328
510	0.5271873047
511	0.5270637695
512	0.5269384766
513	0.5268373047
514	0.526678125
515	0.5266015137
516	0.5265295898
517	0.52644375
518	0.5263374512
519	0.5262562988
520	0.5261040039
521	0.5259765625
522	0.5258888184
523	0.5257861328
524	0.5256853516
525	0.5255686523
526	0.525474707
527	0.5253865723
528	0.5252810547
529	0.5251836426
530	0.525060791
531	0.5249810059
532	0.5248983887
533	0.5248109863
534	0.524661377
535	0.5245665527
536	0.5244769531
537	0.5243150391
538	0.5242135254
539	0.5241314453
540	0.5240275391
541	0.5239224121
542	0.5238030762
543	0.5237422852
544	0.523678125
545	0.523607666
546	0.5234734863
547	0.5233470215
548	0.5232361328
549	0.5231237793
550	0.5230260742
551	0.522889209
552	0.5228159668
553	0.5227060059
554	0.5226309082
555	0.5225089355
556	0.5224
557	0.5222500488
558	0.5221197266
559	0.5220527344
560	0.5219887695
561	0.5219200195
562	0.5218160645
563	0.521734082
564	0.5216410156
565	0.5215677734
566	0.5215118652
567	0.5213986328
568	0.5213137207
569	0.5212808594
