iter	Passed	Remaining
0	9	9742
1	20	9984
2	30	10132
3	39	9767
4	48	9694
5	57	9562
6	67	9617
7	76	9528
8	86	9506
9	95	9454
10	105	9471
11	114	9448
12	124	9440
13	134	9465
14	144	9470
15	153	9426
16	162	9406
17	172	9429
18	183	9462
19	192	9428
20	201	9399
21	210	9367
22	219	9334
23	229	9317
24	237	9270
25	248	9302
26	257	9263
27	267	9280
28	276	9263
29	285	9233
30	295	9243
31	305	9227
32	314	9218
33	323	9198
34	333	9183
35	342	9164
36	351	9148
37	361	9144
38	370	9132
39	380	9134
40	390	9125
41	399	9105
42	408	9101
43	417	9079
44	427	9075
45	436	9050
46	446	9052
47	456	9050
48	467	9064
49	477	9073
50	486	9053
51	496	9057
52	506	9042
53	515	9024
54	524	9020
55	533	8995
56	544	9003
57	553	8995
58	563	8988
59	572	8974
60	583	8977
61	593	8976
62	602	8960
63	611	8950
64	621	8942
65	631	8929
66	641	8926
67	650	8915
68	660	8906
69	668	8887
70	681	8911
71	691	8918
72	700	8897
73	710	8887
74	720	8880
75	728	8862
76	738	8854
77	747	8837
78	757	8827
79	766	8813
80	776	8811
81	786	8806
82	797	8810
83	807	8807
84	816	8787
85	827	8790
86	837	8785
87	846	8775
88	857	8781
89	868	8780
90	878	8773
91	888	8773
92	899	8769
93	909	8765
94	919	8760
95	928	8743
96	938	8736
97	947	8718
98	956	8705
99	965	8689
100	975	8681
101	984	8667
102	994	8661
103	1004	8653
104	1013	8635
105	1022	8627
106	1032	8613
107	1041	8603
108	1050	8588
109	1059	8571
110	1069	8562
111	1078	8551
112	1089	8554
113	1099	8542
114	1108	8530
115	1118	8522
116	1127	8507
117	1137	8504
118	1147	8493
119	1156	8481
120	1165	8468
121	1175	8456
122	1186	8457
123	1195	8446
124	1205	8440
125	1215	8431
126	1225	8421
127	1235	8413
128	1244	8401
129	1254	8396
130	1264	8387
131	1273	8375
132	1283	8366
133	1292	8355
134	1303	8351
135	1312	8339
136	1323	8338
137	1334	8335
138	1343	8323
139	1354	8318
140	1364	8310
141	1373	8301
142	1384	8297
143	1394	8289
144	1404	8279
145	1414	8272
146	1423	8258
147	1434	8260
148	1445	8257
149	1455	8246
150	1466	8245
151	1476	8239
152	1487	8235
153	1498	8231
154	1507	8218
155	1518	8217
156	1528	8206
157	1537	8193
158	1548	8190
159	1557	8178
160	1569	8178
161	1580	8177
162	1590	8166
163	1600	8160
164	1610	8149
165	1620	8139
166	1631	8135
167	1639	8121
168	1650	8116
169	1660	8107
170	1670	8098
171	1680	8091
172	1691	8085
173	1701	8078
174	1712	8072
175	1722	8063
176	1733	8059
177	1743	8050
178	1752	8039
179	1763	8035
180	1774	8027
181	1784	8022
182	1795	8017
183	1805	8004
184	1816	8000
185	1826	7992
186	1836	7984
187	1846	7976
188	1855	7963
189	1866	7955
190	1876	7949
191	1887	7941
192	1898	7939
193	1909	7931
194	1918	7920
195	1929	7916
196	1940	7910
197	1950	7899
198	1960	7893
199	1970	7883
200	1981	7875
201	1991	7868
202	2001	7859
203	2012	7853
204	2022	7845
205	2032	7833
206	2042	7826
207	2053	7820
208	2063	7810
209	2074	7803
210	2083	7791
211	2094	7784
212	2104	7775
213	2114	7765
214	2124	7757
215	2133	7744
216	2143	7734
217	2153	7724
218	2162	7712
219	2173	7704
220	2182	7693
221	2192	7685
222	2202	7675
223	2212	7665
224	2223	7658
225	2233	7649
226	2243	7640
227	2253	7629
228	2262	7617
229	2272	7608
230	2281	7595
231	2291	7586
232	2302	7578
233	2312	7570
234	2323	7563
235	2333	7552
236	2341	7539
237	2352	7530
238	2362	7522
239	2373	7517
240	2384	7508
241	2394	7499
242	2404	7490
243	2414	7481
244	2425	7473
245	2437	7470
246	2446	7459
247	2457	7451
248	2467	7441
249	2476	7428
250	2486	7418
251	2494	7405
252	2506	7399
253	2515	7389
254	2526	7380
255	2536	7372
256	2546	7362
257	2556	7351
258	2566	7341
259	2575	7330
260	2587	7325
261	2596	7314
262	2605	7302
263	2615	7291
264	2625	7282
265	2636	7274
266	2646	7266
267	2657	7257
268	2668	7251
269	2678	7241
270	2688	7230
271	2697	7220
272	2707	7210
273	2718	7204
274	2728	7193
275	2737	7181
276	2748	7172
277	2758	7163
278	2768	7154
279	2777	7142
280	2787	7131
281	2797	7123
282	2806	7111
283	2816	7101
284	2826	7090
285	2837	7084
286	2848	7076
287	2857	7065
288	2867	7055
289	2877	7044
290	2886	7032
291	2897	7024
292	2906	7012
293	2916	7004
294	2926	6993
295	2937	6985
296	2948	6978
297	2957	6966
298	2966	6955
299	2976	6944
300	2985	6933
301	2995	6924
302	3005	6913
303	3015	6903
304	3024	6892
305	3033	6881
306	3043	6870
307	3053	6860
308	3063	6851
309	3072	6839
310	3081	6827
311	3091	6818
312	3101	6806
313	3111	6798
314	3121	6787
315	3131	6777
316	3140	6766
317	3151	6758
318	3163	6753
319	3172	6741
320	3181	6730
321	3191	6719
322	3200	6709
323	3211	6699
324	3220	6687
325	3230	6678
326	3240	6668
327	3251	6661
328	3261	6651
329	3270	6641
330	3280	6630
331	3290	6620
332	3299	6609
333	3310	6600
334	3319	6589
335	3329	6579
336	3339	6569
337	3350	6561
338	3360	6553
339	3370	6542
340	3379	6531
341	3390	6522
342	3399	6512
343	3410	6504
344	3422	6496
345	3431	6486
346	3442	6478
347	3452	6468
348	3461	6457
349	3471	6446
350	3480	6434
351	3490	6426
352	3500	6415
353	3509	6404
354	3518	6393
355	3527	6381
356	3537	6372
357	3546	6360
358	3557	6352
359	3567	6342
360	3576	6330
361	3587	6322
362	3596	6310
363	3606	6301
364	3615	6290
365	3625	6279
366	3635	6270
367	3644	6258
368	3654	6249
369	3664	6239
370	3674	6229
371	3684	6219
372	3693	6208
373	3704	6199
374	3713	6188
375	3723	6179
376	3733	6169
377	3743	6159
378	3754	6151
379	3764	6142
380	3774	6132
381	3784	6123
382	3794	6112
383	3805	6104
384	3814	6093
385	3823	6081
386	3833	6072
387	3842	6061
388	3853	6052
389	3863	6043
390	3874	6034
391	3885	6026
392	3895	6016
