SUBSCRIBER_ID,BILL_MONTH,CHARGES
4741,2017-03-01,4.572
1754,2017-05-01,4.894
381,2017-01-01,6.670
5832,2016-12-01,4.299
5277,2017-03-01,1.610
4512,2017-02-01,3.220
1688,2017-05-01,7.391
3204,2017-10-01,2.456
1277,2016-08-01,11.242
5424,2017-04-01,26.986
5710,2017-10-01,7.787
697,2016-12-01,5.200
4625,2017-08-01,5.428
771,2017-03-01,7.848
3862,2016-12-01,8.322
498,2016-06-01,38.753
5134,2017-02-01,8.944
4243,2017-10-01,7.190
5730,2017-02-01,7.452
1972,2017-06-01,6.442
3754,2017-05-01,10.472
1114,2017-11-01,6.532
3151,2017-08-01,23.393
4196,2017-12-01,6.928
5835,2017-07-01,5.162
1812,2016-11-01,2.176
4541,2017-06-01,9.689
2547,2017-01-01,16.061
5016,2017-02-01,4.726
1238,2017-07-01,12.376
5132,2017-11-01,3.695
5906,2016-12-01,5.428
5014,2017-11-01,5.018
4922,2017-08-01,22.778
252,2016-10-01,4.883
3300,2017-10-01,8.250
3594,2016-10-01,7.148
1422,2016-10-01,12.072
5558,2016-11-01,4.370
5232,2016-07-01,6.556
3727,2017-11-01,6.284
4802,2016-11-01,6.104
2980,2016-11-01,5.796
3949,2017-09-01,5.391
1552,2017-07-01,9.242
4341,2017-08-01,8.015
1518,2017-03-01,8.520
142,2017-04-01,5.590
4527,2017-03-01,7.314
4330,2016-11-01,7.475
4652,2017-04-01,5.102
5389,2017-04-01,1.318
3478,2016-11-01,6.504
1049,2017-07-01,9.772
970,2016-12-01,7.950
2323,2017-09-01,4.964
5241,2016-08-01,7.147
3878,2017-07-01,5.367
1666,2016-09-01,6.254
5655,2016-09-01,2.541
3177,2016-07-01,5.930
2839,2017-02-01,5.662
4741,2016-07-01,4.106
1754,2017-10-01,6.762
381,2017-11-01,4.964
5832,2017-07-01,7.386
5277,2017-10-01,1.772
4512,2017-10-01,5.068
1688,2017-08-01,5.418
3204,2017-07-01,2.456
1277,2017-10-01,4.964
5424,2017-09-01,26.816
5710,2017-02-01,20.704
697,2017-03-01,6.171
4625,2017-04-01,4.834
771,2017-09-01,5.032
3862,2017-06-01,8.384
498,2017-04-01,20.242
5134,2017-01-01,6.863
4243,2016-06-01,7.210
5730,2017-03-01,6.352
1972,2017-11-01,5.490
3754,2017-06-01,12.612
1114,2016-11-01,4.906
3151,2017-02-01,6.751
4196,2017-02-01,5.584
5835,2016-10-01,1.076
1812,2017-04-01,4.214
4541,2017-12-01,17.944
2547,2017-07-01,8.952
5016,2017-11-01,4.991
1238,2017-05-01,13.260
5132,2016-06-01,3.492
5906,2017-11-01,0.166
5014,2017-07-01,4.977
4922,2017-03-01,6.753
252,2016-08-01,7.574
3300,2017-01-01,13.220
3594,2017-05-01,49.272
1422,2017-10-01,34.364
5558,2017-06-01,6.482
5232,2017-06-01,5.004
3727,2017-08-01,7.075
4802,2017-03-01,7.118
2980,2017-11-01,4.984
3949,2017-04-01,7.906
1552,2016-06-01,7.774
4341,2017-07-01,7.705
1518,2017-11-01,6.458
142,2017-02-01,6.258
4527,2017-09-01,9.849
4330,2017-05-01,5.044
4652,2017-11-01,6.687
5389,2017-02-01,3.194
3478,2016-08-01,4.363
1049,2017-03-01,8.112
970,2017-01-01,3.312
2323,2017-06-01,4.964
5241,2017-09-01,4.888
3878,2016-09-01,6.195
1666,2017-03-01,7.056
5655,2017-02-01,8.330
3177,2017-09-01,6.593
2839,2017-08-01,8.224
4741,2016-12-01,5.078
1754,2017-03-01,8.662
381,2016-09-01,6.078
5832,2017-03-01,12.816
5277,2016-11-01,2.334
4512,2017-11-01,9.540
1688,2017-11-01,4.984
3204,2017-08-01,9.586
1277,2017-07-01,6.734
5424,2017-08-01,26.384
5710,2016-08-01,2.162
697,2017-01-01,4.844
4625,2016-12-01,6.799
771,2016-10-01,8.640
3862,2016-06-01,13.733
498,2017-10-01,5.184
5134,2017-07-01,5.946
4243,2017-02-01,7.526
5730,2017-12-01,5.004
1972,2016-12-01,8.027
3754,2017-02-01,7.996
1114,2017-07-01,6.674
3151,2016-07-01,6.026
4196,2017-09-01,4.984
5835,2017-06-01,4.964
1812,2017-08-01,2.456
4541,2016-12-01,20.266
2547,2017-04-01,18.846
5016,2017-06-01,4.984
1238,2017-10-01,5.364
5132,2016-08-01,2.760
5906,2017-08-01,4.008
5014,2017-09-01,5.005
4922,2016-06-01,17.754
252,2016-11-01,5.354
3300,2017-07-01,6.432
3594,2017-12-01,5.084
1422,2017-04-01,8.372
5558,2016-06-01,4.043
5232,2017-05-01,4.984
3727,2016-09-01,4.570
4802,2017-12-01,3.384
2980,2017-07-01,4.964
3949,2016-11-01,8.011
1552,2017-09-01,10.233
4341,2017-02-01,9.882
1518,2016-10-01,9.082
142,2016-08-01,5.789
4527,2016-06-01,11.278
4330,2017-06-01,5.044
4652,2016-07-01,5.808
5389,2017-01-01,0.000
3478,2017-03-01,6.047
1049,2017-05-01,10.278
970,2016-10-01,3.234
2323,2017-02-01,4.572
5241,2016-06-01,6.552
3878,2017-01-01,5.350
1666,2017-06-01,6.144
5655,2017-09-01,10.290
3177,2017-07-01,10.014
2839,2016-10-01,7.720
4741,2017-12-01,5.004
1754,2016-09-01,6.174
381,2017-04-01,6.564
5832,2016-11-01,6.983
5277,2017-07-01,1.772
4512,2017-12-01,12.993
1688,2017-09-01,4.964
3204,2016-09-01,4.131
1277,2017-11-01,4.964
5424,2017-10-01,35.690
5710,2017-07-01,16.538
697,2017-09-01,7.366
4625,2016-11-01,7.075
771,2017-12-01,10.219
3862,2017-12-01,8.800
498,2017-05-01,55.148
5134,2016-10-01,6.801
4243,2017-12-01,6.548
5730,2016-12-01,4.324
1972,2016-09-01,12.922
3754,2017-10-01,4.964
1114,2016-09-01,4.626
3151,2017-07-01,12.326
4196,2016-10-01,4.988
5835,2017-12-01,5.024
1812,2017-01-01,1.872
4541,2017-03-01,9.790
2547,2017-02-01,25.806
5016,2016-09-01,4.524
1238,2017-04-01,10.618
5132,2017-12-01,3.922
5906,2017-02-01,4.775
5014,2017-03-01,8.137
4922,2016-10-01,6.953
252,2017-12-01,11.740
3300,2016-12-01,10.573
3594,2016-11-01,6.670
1422,2017-12-01,14.168
5558,2016-07-01,5.460
5232,2016-11-01,7.256
3727,2017-03-01,6.334
4802,2017-04-01,11.518
2980,2016-07-01,5.221
3949,2017-02-01,7.466
1552,2016-12-01,11.486
4341,2016-12-01,8.284
1518,2016-07-01,10.019
142,2016-07-01,5.738
4527,2017-08-01,2.582
4330,2017-02-01,8.348
4652,2017-08-01,6.621
5389,2017-03-01,2.254
3478,2016-12-01,6.617
1049,2016-07-01,13.163
970,2017-12-01,12.882
2323,2016-11-01,4.699
5241,2016-07-01,11.734
3878,2017-03-01,6.814
1666,2016-12-01,9.467
5655,2017-05-01,15.572
3177,2017-04-01,7.987
2839,2016-06-01,7.077
4741,2017-08-01,5.044
1754,2016-08-01,6.152
381,2016-07-01,5.930
5832,2017-11-01,8.098
5277,2016-09-01,1.260
4512,2017-01-01,5.438
1688,2017-02-01,6.707
3204,2016-06-01,4.025
1277,2017-01-01,8.914
5424,2017-01-01,8.759
5710,2017-06-01,11.413
697,2016-08-01,4.232
4625,2017-10-01,5.149
771,2016-12-01,11.320
3862,2016-09-01,10.560
498,2017-06-01,9.073
5134,2017-10-01,7.240
4243,2017-05-01,5.184
5730,2017-06-01,4.964
1972,2016-07-01,20.990
3754,2017-09-01,10.178
1114,2016-10-01,5.435
3151,2017-10-01,2.784
4196,2017-11-01,6.086
5835,2017-04-01,6.210
1812,2017-10-01,2.815
4541,2016-06-01,12.332
2547,2017-09-01,12.495
5016,2017-07-01,4.964
1238,2017-12-01,10.362
5132,2017-02-01,2.120
5906,2017-04-01,4.749
5014,2016-06-01,5.984
4922,2017-06-01,72.649
252,2017-08-01,10.760
3300,2017-09-01,9.363
3594,2016-09-01,6.096
1422,2016-06-01,14.758
5558,2016-12-01,2.864
5232,2016-12-01,7.112
3727,2017-06-01,5.607
4802,2016-07-01,9.724
2980,2017-05-01,4.964
3949,2016-07-01,6.206
1552,2017-12-01,15.244
4341,2017-09-01,18.994
1518,2017-12-01,5.044
142,2016-12-01,5.122
4527,2016-08-01,9.534
4330,2016-10-01,4.964
4652,2016-09-01,4.754
5389,2017-09-01,1.474
3478,2016-07-01,4.193
1049,2016-06-01,9.766
970,2016-06-01,9.602
2323,2017-12-01,4.964
5241,2016-11-01,6.670
3878,2016-06-01,10.340
1666,2017-12-01,8.772
5655,2017-04-01,11.908
3177,2016-06-01,25.844
2839,2017-05-01,6.072
4741,2017-02-01,4.572
1754,2017-04-01,6.436
381,2017-09-01,4.964
5832,2017-08-01,10.984
5277,2016-07-01,1.173
4512,2017-08-01,6.238
1688,2016-11-01,6.688
3204,2016-11-01,5.890
1277,2017-06-01,10.564
5424,2016-07-01,8.688
5710,2017-04-01,16.764
697,2016-06-01,5.136
4625,2017-05-01,5.004
771,2016-06-01,7.153
3862,2016-11-01,8.503
498,2017-03-01,4.756
5134,2017-11-01,4.964
4243,2017-09-01,8.312
5730,2016-11-01,2.254
1972,2017-02-01,7.838
3754,2017-01-01,31.836
1114,2017-05-01,5.680
3151,2017-04-01,3.046
4196,2017-03-01,4.554
5835,2017-09-01,4.964
1812,2017-03-01,1.720
4541,2017-01-01,21.718
2547,2017-03-01,11.355
5016,2017-09-01,4.964
1238,2016-10-01,11.206
5132,2017-07-01,5.192
5906,2017-06-01,5.395
5014,2016-12-01,7.080
4922,2016-07-01,7.270
252,2017-09-01,11.000
3300,2017-05-01,10.442
3594,2017-04-01,4.872
1422,2017-11-01,14.095
5558,2017-03-01,5.244
5232,2017-12-01,4.984
3727,2017-01-01,7.546
4802,2016-09-01,6.441
2980,2017-06-01,4.977
3949,2017-12-01,5.642
1552,2017-03-01,6.662
4341,2017-12-01,6.990
1518,2017-06-01,7.805
142,2017-10-01,4.984
4527,2017-04-01,19.120
4330,2017-01-01,5.681
4652,2017-02-01,4.812
5389,2017-05-01,0.000
3478,2017-05-01,2.632
1049,2017-02-01,11.322
970,2017-05-01,12.330
2323,2016-07-01,4.068
5241,2016-12-01,6.670
3878,2017-12-01,5.552
1666,2016-10-01,6.909
5655,2016-11-01,2.769
3177,2017-11-01,11.577
2839,2016-09-01,6.618
4741,2017-07-01,5.024
1754,2017-07-01,9.895
381,2017-08-01,5.024
5832,2017-05-01,20.334
5277,2017-11-01,1.752
4512,2016-09-01,9.155
1688,2016-12-01,6.799
3204,2017-01-01,4.554
1277,2017-12-01,8.330
5424,2017-02-01,9.289
5710,2016-09-01,2.835
697,2016-09-01,4.218
4625,2016-09-01,6.063
771,2017-07-01,6.127
3862,2017-11-01,7.595
498,2017-07-01,7.662
5134,2017-08-01,7.268
4243,2017-08-01,8.038
5730,2017-11-01,5.004
1972,2017-04-01,9.658
3754,2016-12-01,6.725
