SUBSCRIBER_ID,START_DT,END_DT,STATUS
5195,2017-12-27,2017-12-27,Suspended
5198,2017-04-18,2017-04-18,Suspended
381,2017-04-18,2017-04-20,Suspended
3500,2017-12-21,$null$,Suspended
3302,2016-08-23,2016-09-07,Suspended
4512,2017-04-14,2017-04-28,Suspended
1738,2016-08-11,2017-01-10,Suspended
2294,2017-01-27,2017-01-27,Suspended
1277,2017-01-27,2017-03-21,Suspended
5424,2016-11-18,2016-11-29,Suspended
5710,2017-09-05,2017-09-10,Suspended
622,2016-07-02,2016-07-02,Suspended
5399,2016-07-03,2016-07-05,Suspended
2937,2016-06-15,2016-08-08,Suspended
3862,2016-08-16,2016-08-19,Suspended
498,2017-12-28,2017-12-28,Suspended
5181,2016-11-22,2016-11-25,Suspended
887,2017-07-03,2017-07-11,Suspended
2128,2017-08-04,2017-08-14,Suspended
156,2017-04-17,2017-04-19,Suspended
3310,2017-08-19,2017-08-23,Suspended
5151,2016-12-27,2016-12-27,Suspended
5159,2016-08-25,2016-09-04,Suspended
3330,2017-06-05,2017-06-07,Suspended
5822,2017-11-13,$null$,Suspended
510,2017-08-21,2017-08-21,Suspended
5820,2017-02-09,2017-02-10,Suspended
389,2017-01-27,2017-01-29,Suspended
5361,2017-07-16,2017-07-18,Suspended
5186,2017-01-17,2017-01-21,Suspended
1978,2017-12-11,$null$,Suspended
5906,2017-08-22,2017-08-29,Suspended
5876,2017-01-02,2017-01-05,Suspended
4770,2017-09-19,2017-10-02,Suspended
252,2017-08-25,2017-08-26,Suspended
3923,2017-08-28,2017-08-29,Suspended
5780,2016-12-15,2016-12-22,Suspended
3477,2016-11-09,2016-11-10,Suspended
5558,2017-01-29,2017-02-02,Suspended
5818,2017-01-02,2017-01-03,Suspended
277,2017-08-29,2017-09-30,Suspended
4802,2017-05-24,2017-05-26,Suspended
2065,2017-02-23,2017-02-27,Suspended
1653,2017-01-27,2017-01-30,Suspended
1552,2016-11-01,2016-11-01,Suspended
5298,2017-02-08,2017-02-19,Suspended
1518,2016-10-25,2016-11-10,Suspended
5827,2016-10-27,2016-10-27,Suspended
4527,2017-04-25,2017-04-28,Suspended
5637,2017-08-15,2017-08-17,Suspended
3440,2017-12-26,2017-12-27,Suspended
5389,2016-12-03,2017-02-17,Suspended
3478,2017-02-23,2017-02-27,Suspended
5743,2016-12-24,2016-12-24,Suspended
1081,2017-06-06,2017-06-06,Suspended
759,2016-08-31,2016-08-31,Suspended
5241,2016-09-19,2016-09-23,Suspended
3332,2016-10-19,2016-11-22,Suspended
5782,2017-10-10,2017-10-22,Suspended
5655,2016-07-31,2016-08-01,Suspended
5938,2017-02-07,2017-02-12,Suspended
414,2017-05-05,2017-05-06,Suspended
5195,2017-10-23,2017-10-31,Suspended
2211,2017-06-19,2017-06-19,Suspended
4742,2016-11-19,2016-11-19,Suspended
3500,2017-05-19,2017-07-16,Suspended
5579,2017-07-19,2017-08-21,Suspended
4512,2017-01-30,2017-02-10,Suspended
1738,2016-06-27,2016-07-18,Suspended
4615,2017-05-30,2017-07-13,Suspended
1277,2016-08-29,2016-09-02,Suspended
5424,2017-11-24,2017-11-26,Suspended
2193,2016-09-19,2016-09-19,Suspended
622,2016-08-13,2016-08-14,Suspended
5399,2016-11-02,2016-11-02,Suspended
2937,2017-03-19,2017-03-20,Suspended
395,2017-10-17,2017-10-22,Suspended
1044,2016-10-25,2016-10-25,Suspended
4904,2016-08-29,2016-08-29,Suspended
887,2016-06-12,2016-08-28,Suspended
4082,2016-07-19,2016-08-21,Suspended
156,2017-11-21,2017-11-22,Suspended
5753,2016-09-26,2016-12-03,Suspended
5151,2016-08-13,2016-08-16,Suspended
5159,2016-11-16,2016-11-18,Suspended
3330,2017-04-22,2017-04-22,Suspended
5822,2017-01-09,2017-01-30,Suspended
5786,2016-12-05,2016-12-07,Suspended
5820,2017-04-18,2017-09-15,Suspended
389,2017-05-26,2017-05-26,Suspended
5361,2017-01-14,2017-01-20,Suspended
3701,2017-09-25,2017-09-26,Suspended
1978,2017-07-11,2017-07-24,Suspended
5906,2017-03-17,2017-04-02,Suspended
5876,2017-01-31,2017-02-03,Suspended
4770,2016-10-20,2016-11-10,Suspended
335,2017-07-26,2017-07-27,Suspended
5814,2017-03-10,2017-03-16,Suspended
5780,2016-11-21,2016-11-23,Suspended
3477,2017-01-17,2017-01-18,Suspended
5558,2016-10-29,2016-10-29,Suspended
5818,2017-01-21,2017-01-23,Suspended
277,2016-08-09,2016-08-15,Suspended
4802,2017-12-04,2017-12-15,Suspended
2065,2016-06-30,2016-07-07,Suspended
1489,2016-08-06,2016-09-07,Suspended
136,2017-07-20,2017-08-07,Suspended
5926,2017-02-21,2017-06-29,Suspended
3025,2017-09-12,2017-09-12,Suspended
5827,2017-03-30,2017-04-17,Suspended
5002,2016-07-09,2016-07-11,Suspended
5862,2016-12-26,2017-01-24,Suspended
3440,2017-10-23,2017-11-08,Suspended
5389,2017-09-18,2018-01-10,Suspended
459,2017-01-25,2017-01-25,Suspended
5743,2016-10-16,2016-10-16,Suspended
4017,2017-10-07,2017-12-25,Suspended
4483,2017-11-23,2017-12-11,Suspended
5241,2016-08-23,2016-08-28,Suspended
3332,2017-01-18,2017-01-20,Suspended
1864,2016-10-03,2016-10-05,Suspended
5781,2016-09-18,2016-11-24,Suspended
5938,2017-08-22,$null$,Suspended
1397,2016-07-25,2016-09-14,Suspended
5195,2016-09-19,2016-09-19,Suspended
1252,2017-01-18,2017-02-06,Suspended
5211,2016-09-27,2016-09-30,Suspended
